%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1481561747650861078,321,1481561747572768405,,1497.0,1417.0
1481561747650935817,322,1481561747592975086,,1498.0,1418.0
1481561747651040400,323,1481561747612787393,,1498.0,1418.0
1481561747651074514,324,1481561747632771940,,1497.0,1418.0
1481561747654381843,325,1481561747652643882,,1498.0,1418.0
1481561747678515330,326,1481561747672774366,,1497.0,1418.0
1481561747698097899,327,1481561747692773703,,1497.0,1418.0
1481561747718656922,328,1481561747713023197,,1498.0,1418.0
1481561747742719471,329,1481561747732859671,,1498.0,1417.0
1481561747756043734,330,1481561747752733436,,1497.0,1418.0
1481561747778669935,331,1481561747772744753,,1497.0,1418.0
1481561747798172296,332,1481561747792843049,,1497.0,1418.0
1481561747816167373,333,1481561747812682857,,1497.0,1418.0
1481561747835082288,334,1481561747832773392,,1497.0,1418.0
1481561747856163913,335,1481561747852578252,,1497.0,1418.0
1481561747875031746,336,1481561747872548007,,1497.0,1417.0
1481561747895221500,337,1481561747892628386,,1498.0,1417.0
1481561747914942349,338,1481561747912597308,,1497.0,1418.0
1481561747935239550,339,1481561747932767686,,1497.0,1418.0
1481561747955492637,340,1481561747952541244,,1498.0,1418.0
1481561747975242341,341,1481561747972560322,,1497.0,1417.0
1481561747994736890,342,1481561747992590753,,1497.0,1417.0
1481561748014880810,343,1481561748012733684,,1497.0,1417.0
1481561748038459507,344,1481561748032694845,,1498.0,1417.0
1481561748054921413,345,1481561748052589028,,1498.0,1418.0
1481561748078234486,346,1481561748072534616,,1498.0,1418.0
1481561748094475091,347,1481561748092594058,,1498.0,1417.0
1481561748116290879,348,1481561748112588083,,1498.0,1417.0
1481561748136218968,349,1481561748132543515,,1497.0,1419.0
1481561748157307780,350,1481561748153608473,,1497.0,1418.0
1481561748177582585,351,1481561748172652920,,1498.0,1418.0
1481561748197119842,352,1481561748192551217,,1498.0,1418.0
1481561748215712468,353,1481561748212586232,,1498.0,1418.0
1481561748234498426,354,1481561748232560257,,1498.0,1417.0
1481561748255914528,355,1481561748252634595,,1497.0,1417.0
1481561748277267245,356,1481561748273631949,,1498.0,1417.0
1481561748296865023,357,1481561748292575042,,1498.0,1417.0
1481561748317422692,358,1481561748312609640,,1498.0,1417.0
1481561748335520371,359,1481561748332593978,,1498.0,1417.0
1481561748356200331,360,1481561748352573525,,1497.0,1418.0
1481561748374997123,361,1481561748372538071,,1497.0,1418.0
1481561748397708896,362,1481561748392531419,,1497.0,1418.0
1481561748416072773,363,1481561748412803412,,1498.0,1418.0
1481561748435640186,364,1481561748433201707,,1498.0,1417.0
1481561748455127651,365,1481561748452659902,,1498.0,1417.0
1481561748475658705,366,1481561748472550803,,1498.0,1417.0
1481561748495345128,367,1481561748492578943,,1497.0,1418.0
1481561748515606861,368,1481561748512560728,,1502.0,1418.0
1481561748535399325,369,1481561748532570535,,1497.0,1418.0
1481561748555302517,370,1481561748552576592,,1497.0,1418.0
1481561748575050398,371,1481561748572700096,,1498.0,1418.0
1481561748596909519,372,1481561748592565580,,1498.0,1417.0
1481561748618195050,373,1481561748612557314,,1497.0,1418.0
1481561748637272881,374,1481561748632667693,,1497.0,1418.0
1481561748667686027,375,1481561748652649844,,1498.0,1418.0
1481561748678693426,376,1481561748673148763,,1497.0,1418.0
1481561748696181577,377,1481561748692622999,,1497.0,1418.0
1481561748720329074,378,1481561748712721972,,1498.0,1418.0
1481561748741135908,379,1481561748733111777,,1498.0,1417.0
1481561748757943594,380,1481561748752582315,,1498.0,1417.0
1481561748775962368,381,1481561748772569726,,1497.0,1418.0
1481561748795699103,382,1481561748792540054,,1498.0,1418.0
1481561748815684691,383,1481561748812555798,,1497.0,1418.0
1481561748836166735,384,1481561748832746385,,1498.0,1418.0
1481561748856477998,385,1481561748852740984,,1498.0,1417.0
1481561748877447957,386,1481561748872609697,,1497.0,1417.0
1481561748898997288,387,1481561748892541379,,1497.0,1418.0
1481561748916361169,388,1481561748912539988,,1498.0,1418.0
1481561748936145612,389,1481561748932568909,,1498.0,1418.0
1481561748956502553,390,1481561748952624237,,1498.0,1418.0
1481561748976138142,391,1481561748972743939,,1498.0,1417.0
1481561748997016227,392,1481561748992662861,,1497.0,1418.0
1481561749018480298,393,1481561749012565689,,1496.0,1418.0
1481561749035469909,394,1481561749032557006,,1497.0,1419.0
1481561749056182525,395,1481561749052549729,,1498.0,1418.0
1481561749076470768,396,1481561749072576307,,1498.0,1418.0
1481561749096202087,397,1481561749092569655,,1498.0,1417.0
1481561749116197519,398,1481561749112601857,,1498.0,1417.0
1481561749136567115,399,1481561749133707909,,1498.0,1417.0
1481561749157564209,400,1481561749152607929,,1498.0,1418.0
1481561749177080112,401,1481561749172658673,,1497.0,1418.0
1481561749196082215,402,1481561749192582439,,1498.0,1418.0
1481561749215941085,403,1481561749212627922,,1497.0,1418.0
1481561749237357448,404,1481561749233846786,,1498.0,1417.0
1481561749257630326,405,1481561749253223731,,1497.0,1418.0
1481561749277648414,406,1481561749272650728,,1498.0,1418.0
1481561749295648177,407,1481561749292524285,,1498.0,1418.0
1481561749316091836,408,1481561749312598362,,1498.0,1418.0
1481561749336547214,409,1481561749332649888,,1497.0,1418.0
1481561749359266592,410,1481561749352742142,,1498.0,1418.0
1481561749378796922,411,1481561749372555387,,1497.0,1418.0
1481561749398904853,412,1481561749392749880,,1497.0,1417.0
1481561749419560490,413,1481561749412845780,,1498.0,1417.0
1481561749437965981,414,1481561749432742463,,1498.0,1418.0
1481561749457540321,415,1481561749452584353,,1497.0,1418.0
1481561749478470019,416,1481561749472636608,,1497.0,1418.0
1481561749500343776,417,1481561749494157501,,1497.0,1418.0
1481561749520526551,418,1481561749514886836,,1497.0,1417.0
1481561749541310364,419,1481561749532651497,,1497.0,1418.0
1481561749559767209,420,1481561749552564845,,1497.0,1418.0
1481561749581120656,421,1481561749572561423,,1498.0,1418.0
1481561749598654275,422,1481561749592574250,,1498.0,1417.0
1481561749619651057,423,1481561749612622182,,1497.0,1417.0
1481561749639690655,424,1481561749632978081,,1498.0,1418.0
1481561749660791447,425,1481561749654694911,,1498.0,1417.0
1481561749681044533,426,1481561749674579354,,1498.0,1417.0
1481561749702461834,427,1481561749692732033,,1497.0,1418.0
1481561749720461597,428,1481561749712707778,,1497.0,1418.0
1481561749740520727,429,1481561749732619772,,1497.0,1417.0
1481561749760221993,430,1481561749752602600,,1498.0,1417.0
1481561749778875504,431,1481561749772595584,,1498.0,1418.0
1481561749798808280,432,1481561749792580235,,1498.0,1418.0
1481561749820268392,433,1481561749813554099,,1498.0,1417.0
1481561749839392057,434,1481561749833794530,,1497.0,1417.0
1481561749862044144,435,1481561749854871936,,1497.0,1417.0
1481561749881030986,436,1481561749872533837,,1497.0,1417.0
1481561749901145636,437,1481561749893064839,,1498.0,1418.0
1481561749921325494,438,1481561749913150114,,1498.0,1417.0
1481561749938493387,439,1481561749932810391,,1498.0,1419.0
1481561749958784546,440,1481561749952741188,,1498.0,1417.0
1481561749980437835,441,1481561749973631720,,1498.0,1417.0
1481561750003933147,442,1481561749996415524,,1497.0,1418.0
1481561750021921557,443,1481561750015250701,,1498.0,1417.0
1481561750039670800,444,1481561750032633332,,1498.0,1418.0
1481561750062310283,445,1481561750052579024,,1498.0,1418.0
1481561750081869675,446,1481561750073135651,,1498.0,1418.0
1481561750099981990,447,1481561750093157489,,1497.0,1418.0
1481561750125302763,448,1481561750113644221,,1497.0,1417.0
1481561750136327609,449,1481561750132681949,,1498.0,1417.0
1481561750157286579,450,1481561750152617954,,1497.0,1418.0
1481561750178572473,451,1481561750172561094,,1498.0,1418.0
1481561750195318336,452,1481561750192555901,,1497.0,1418.0
1481561750216967198,453,1481561750212600186,,1498.0,1417.0
1481561750236171383,454,1481561750232573951,,1498.0,1417.0
1481561750255194580,455,1481561750252660372,,1498.0,1417.0
1481561750276264486,456,1481561750273034032,,1497.0,1417.0
1481561750296957102,457,1481561750292558424,,1498.0,1418.0
1481561750316570296,458,1481561750312576355,,1497.0,1418.0
1481561750339353528,459,1481561750334357717,,1498.0,1418.0
1481561750357379958,460,1481561750353180289,,1498.0,1418.0
1481561750376117739,461,1481561750372596296,,1498.0,1418.0
1481561750395119217,462,1481561750392558343,,1497.0,1418.0
1481561750415570584,463,1481561750412584920,,1497.0,1418.0
1481561750435904139,464,1481561750432551446,,1497.0,1418.0
1481561750455400355,465,1481561750452646200,,1498.0,1418.0
1481561750475921826,466,1481561750472730382,,1497.0,1418.0
1481561750495728508,467,1481561750492531648,,1498.0,1418.0
1481561750516408104,468,1481561750512531767,,1498.0,1418.0
1481561750535442863,469,1481561750532704854,,1497.0,1418.0
1481561750556840944,470,1481561750552621536,,1498.0,1418.0
1481561750576574346,471,1481561750572712488,,1498.0,1417.0
1481561750596728423,472,1481561750592715160,,1498.0,1418.0
1481561750616224794,473,1481561750612553665,,1498.0,1418.0
1481561750638370008,474,1481561750632571232,,1498.0,1418.0
1481561750655753525,475,1481561750652637653,,1498.0,1418.0
1481561750675613905,476,1481561750672596991,,1498.0,1419.0
1481561750695624024,477,1481561750692712475,,1497.0,1417.0
1481561750717471375,478,1481561750712647125,,1497.0,1417.0
1481561750735727283,479,1481561750732635109,,1498.0,1418.0
1481561750756355629,480,1481561750752604968,,1498.0,1419.0
1481561750776707882,481,1481561750772574983,,1498.0,1418.0
1481561750795866494,482,1481561750792657186,,1498.0,1418.0
1481561750816975723,483,1481561750812654388,,1497.0,1418.0
1481561750838787709,484,1481561750832607945,,1497.0,1417.0
1481561750856234611,485,1481561750852607231,,1497.0,1418.0
1481561750876388844,486,1481561750872614277,,1498.0,1417.0
1481561750896079850,487,1481561750892606376,,1498.0,1417.0
1481561750916764185,488,1481561750912716390,,1498.0,1417.0
1481561750936127276,489,1481561750932753020,,1498.0,1418.0
1481561750957349681,490,1481561750952720327,,1497.0,1417.0
1481561750976270274,491,1481561750972635967,,1497.0,1417.0
1481561750998079187,492,1481561750992564264,,1498.0,1418.0
1481561751018993000,493,1481561751012578029,,1498.0,1418.0
1481561751035713811,494,1481561751032837782,,1498.0,1418.0
1481561751055947263,495,1481561751052585351,,1498.0,1418.0
1481561751075691654,496,1481561751072613647,,1498.0,1418.0
1481561751095622138,497,1481561751092675537,,1497.0,1418.0
1481561751115517362,498,1481561751112697739,,1497.0,1418.0
1481561751136523414,499,1481561751132747806,,1498.0,1418.0
1481561751154731146,500,1481561751152552249,,1497.0,1418.0
1481561751176555163,501,1481561751172542056,,1497.0,1418.0
1481561751196530438,502,1481561751192590925,,1498.0,1418.0
1481561751216510454,503,1481561751212658908,,1497.0,1418.0
1481561751237990150,504,1481561751232585278,,1498.0,1418.0
1481561751258007404,505,1481561751252567376,,1498.0,1417.0
1481561751276410603,506,1481561751272567704,,1498.0,1418.0
