%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1481789597144147267,297,1481789597132540331,,5.0,0.0
1481789597153958435,298,1481789597152523031,,-5.0,0.0
1481789597176823454,299,1481789597172949632,,-5.0,0.0
1481789597193874772,300,1481789597192532908,,-5.0,0.0
1481789597215500270,301,1481789597212497951,,-5.0,0.0
1481789597235052868,302,1481789597232684815,,5.0,0.0
1481789597254312136,303,1481789597252486474,,5.0,0.0
1481789597274609832,304,1481789597272511152,,5.0,0.0
1481789597293937068,305,1481789597292509424,,5.0,0.0
1481789597314401742,306,1481789597312542643,,5.0,0.0
1481789597335295580,307,1481789597332560394,,5.0,0.0
1481789597355058020,308,1481789597352496166,,-5.0,0.0
1481789597375757484,309,1481789597372556521,,-5.0,0.0
1481789597394894201,310,1481789597392527502,,5.0,0.0
1481789597414658933,311,1481789597412496868,,5.0,0.0
1481789597435187357,312,1481789597432457952,,5.0,0.0
1481789597454713289,313,1481789597452526588,,5.0,0.0
1481789597475450409,314,1481789597472474340,,5.0,0.0
1481789597494686447,315,1481789597492509590,,5.0,0.0
1481789597515469192,316,1481789597512491873,,5.0,0.0
1481789597534701533,317,1481789597532510145,,5.0,0.0
1481789597555022927,318,1481789597552500135,,5.0,0.0
1481789597574261414,319,1481789597572517261,,5.0,0.0
1481789597596000869,320,1481789597592495013,,-5.0,0.0
1481789597614834151,321,1481789597612523493,,-5.0,0.0
1481789597633981075,322,1481789597632536087,,5.0,0.0
1481789597655546574,323,1481789597652522016,,5.0,0.0
1481789597675644637,324,1481789597672969919,,-5.0,0.0
1481789597694954789,325,1481789597692531893,,-5.0,0.0
1481789597716297425,326,1481789597712526623,,5.0,0.0
1481789597734599878,327,1481789597732619269,,5.0,0.0
1481789597757569479,328,1481789597752656551,,-5.0,0.0
1481789597775205635,329,1481789597772536751,,-5.0,0.0
1481789597796131087,330,1481789597792476169,,-5.0,0.0
1481789597815543791,331,1481789597812510899,,-5.0,0.0
1481789597834926078,332,1481789597832656983,,-5.0,0.0
1481789597855478616,333,1481789597852518120,,-5.0,0.0
1481789597874785592,334,1481789597872551548,,5.0,0.0
1481789597894259285,335,1481789597892493622,,5.0,0.0
1481789597914826563,336,1481789597912550384,,-5.0,0.0
1481789597935565037,337,1481789597932642092,,-5.0,0.0
1481789597954844044,338,1481789597952563750,,-5.0,0.0
1481789597975792620,339,1481789597972509366,,-5.0,0.0
1481789597994717776,340,1481789597992488211,,-5.0,0.0
1481789598015852758,341,1481789598012499452,,-5.0,0.0
1481789598034895881,342,1481789598032666421,,-5.0,0.0
1481789598055751907,343,1481789598052470684,,-5.0,0.0
1481789598074789197,344,1481789598072515987,,5.0,0.0
1481789598096706151,345,1481789598092835350,,5.0,0.0
1481789598114788398,346,1481789598112563937,,-5.0,0.0
1481789598136133377,347,1481789598132753926,,-5.0,0.0
