%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1481789597234251208,302,1481789597232676221,,1498.0,0.0
1481789597254230938,303,1481789597252478401,,1498.0,0.0
1481789597274018275,304,1481789597272503548,,1499.0,0.0
1481789597293851235,305,1481789597292501611,,1499.0,0.0
1481789597314005964,306,1481789597312534935,,1498.0,0.0
1481789597334846521,307,1481789597332553207,,1498.0,0.0
1481789597353940425,308,1481789597352488614,,1498.0,0.0
1481789597375228009,309,1481789597372549021,,1499.0,0.0
1481789597393985927,310,1481789597392519273,,1498.0,0.0
1481789597413994668,311,1481789597412488638,,1499.0,0.0
1481789597434801058,312,1481789597432450088,,1498.0,0.0
1481789597453988243,313,1481789597452517942,,1499.0,0.0
1481789597474710988,314,1481789597472466371,,1499.0,0.0
1481789597493967287,315,1481789597492501413,,1499.0,0.0
1481789597514695813,316,1481789597512484321,,1499.0,0.0
1481789597533970133,317,1481789597532501968,,1498.0,0.0
1481789597554575847,318,1481789597552492583,,1498.0,0.0
1481789597574009020,319,1481789597572509397,,1498.0,0.0
1481789597594741504,320,1481789597592487356,,1499.0,0.0
1481789597614130094,321,1481789597612515628,,1498.0,0.0
1481789597633898316,322,1481789597632528535,,1499.0,0.0
1481789597654016118,323,1481789597652513943,,1498.0,0.0
1481789597675428909,324,1481789597672963096,,1499.0,0.0
1481789597694043807,325,1481789597692524028,,1499.0,0.0
1481789597714851135,326,1481789597712518915,,1499.0,0.0
1481789597734080247,327,1481789597732611613,,1499.0,0.0
1481789597755545486,328,1481789597752648999,,1499.0,0.0
1481789597774010385,329,1481789597772528730,,1498.0,0.0
1481789597795690830,330,1481789597792468617,,1499.0,0.0
1481789597815068639,331,1481789597812503087,,1499.0,0.0
1481789597834140147,332,1481789597832648701,,1499.0,0.0
1481789597854828153,333,1481789597852510360,,1499.0,0.0
1481789597874014192,334,1481789597872543319,,1498.0,0.0
1481789597894134703,335,1481789597892485758,,1498.0,0.0
1481789597914024955,336,1481789597912542363,,1499.0,0.0
1481789597935178998,337,1481789597932634228,,1498.0,0.0
1481789597954038113,338,1481789597952556094,,1498.0,0.0
1481789597974756743,339,1481789597972501918,,1498.0,0.0
1481789597993964605,340,1481789597992480347,,1498.0,0.0
1481789598014808183,341,1481789598012491796,,1499.0,0.0
1481789598034122034,342,1481789598032658816,,1499.0,0.0
1481789598054745092,343,1481789598052462871,,1498.0,0.0
1481789598073980350,344,1481789598072508487,,1499.0,0.0
1481789598095170174,345,1481789598092827173,,1499.0,0.0
1481789598114043977,346,1481789598112556176,,1499.0,0.0
1481789598134594744,347,1481789598132746791,,1499.0,0.0
1481789598155182438,348,1481789598152724542,,1499.0,0.0
1481789598176571793,349,1481789598173000572,,1498.0,0.0
1481789598194594977,350,1481789598192522442,,1499.0,0.0
1481789598214276689,351,1481789598212574828,,1499.0,0.0
1481789598235760314,352,1481789598233276428,,1499.0,0.0
1481789598254374535,353,1481789598252672674,,1499.0,0.0
1481789598274872386,354,1481789598272534280,,1498.0,0.0
1481789598294212330,355,1481789598292528490,,1498.0,0.0
1481789598315155959,356,1481789598312601345,,1499.0,0.0
1481789598334903608,357,1481789598333245028,,1499.0,0.0
1481789598355179534,358,1481789598352635389,,1498.0,0.0
1481789598374254689,359,1481789598372598453,,1499.0,0.0
1481789598394512334,360,1481789598392457924,,1498.0,0.0
1481789598414307743,361,1481789598412611716,,1499.0,0.0
1481789598436364332,362,1481789598433545293,,1498.0,0.0
1481789598454409443,363,1481789598452712113,,1498.0,0.0
1481789598475836870,364,1481789598473267777,,1498.0,0.0
1481789598494268697,365,1481789598492607356,,1499.0,0.0
1481789598516156901,366,1481789598512595368,,1498.0,0.0
1481789598535732677,367,1481789598533194208,,1498.0,0.0
1481789598556373964,368,1481789598552713526,,1499.0,0.0
1481789598575142611,369,1481789598572542737,,1499.0,0.0
1481789598594910052,370,1481789598592578769,,1499.0,0.0
1481789598614613795,371,1481789598612611520,,1498.0,0.0
1481789598635409092,372,1481789598633720252,,1499.0,0.0
1481789598654687839,373,1481789598652610512,,1498.0,0.0
1481789598675446365,374,1481789598673314143,,1498.0,0.0
